datetime,open,high,low,close,volume
2024-09-27 12:00:00,256.7456,259.28,256.3973,258.625,5545639.0
2024-09-27 12:30:00,258.699,259.87,257.956,258.99,5484605.0
2024-09-27 13:00:00,258.9654,259.2,257.85,258.8256,3223640.0
2024-09-27 13:30:00,258.81,259.72,258.29,258.79,3377832.0
2024-09-27 14:00:00,258.77,260.29,258.15,260.16,3796460.0
2024-09-27 14:30:00,260.12,260.33,258.6801,258.7299,3123111.0
2024-09-27 15:00:00,258.71,260.09,258.2,259.655,2894488.0
2024-09-27 15:30:00,259.63,260.6999,259.1001,260.64,3688098.0
2024-09-27 16:00:00,260.62,260.69,259.81,260.46,8481718.0
2024-09-30 10:00:00,259.04,264.86,258.1,263.025,14333264.0
2024-09-30 10:30:00,262.98,264.3199,259.27,259.63,9236877.0
2024-09-30 11:00:00,259.61,260.29,256.81,257.464,9185264.0
2024-09-30 11:30:00,257.51,259.68,256.92,259.47,6202022.0
2024-09-30 12:00:00,259.47,261.0,258.23,259.8886,4321790.0
2024-09-30 12:30:00,259.91,261.48,259.86,260.6705,3752234.0
2024-09-30 13:00:00,260.6514,260.9,259.4,259.52,2746327.0
2024-09-30 13:30:00,259.5109,260.03,258.45,258.52,2775833.0
2024-09-30 14:00:00,258.4877,260.27,258.34,260.1,2247686.0
2024-09-30 14:30:00,260.05,260.3,255.77,256.8699,5112308.0
2024-09-30 15:00:00,256.855,259.23,256.1,258.3199,4006215.0
2024-09-30 15:30:00,258.27,259.1499,257.7401,258.72,3230844.0
2024-09-30 16:00:00,258.66,261.87,258.2552,261.63,8932667.0
2024-10-01 10:00:00,262.67,263.98,255.9,256.29,12184359.0
2024-10-01 10:30:00,256.275,257.55,250.0,250.12,12125195.0
2024-10-01 11:00:00,250.11,253.5641,248.53,253.039,10463746.0
2024-10-01 11:30:00,253.07,253.49,250.14,252.26,6516194.0
2024-10-01 12:00:00,252.24,253.92,251.8,252.53,4678472.0
2024-10-01 12:30:00,252.5028,255.14,252.2501,255.05,3894265.0
2024-10-01 13:00:00,255.03,255.8365,253.05,254.9099,4898088.0
2024-10-01 13:30:00,254.86,254.9699,252.2,253.08,3321701.0
2024-10-01 14:00:00,253.06,256.76,253.0284,256.4857,4982297.0
2024-10-01 14:30:00,256.43,259.0491,256.41,258.67,6093242.0
2024-10-01 15:00:00,258.625,259.15,257.74,258.4903,4134190.0
2024-10-01 15:30:00,258.49,259.02,257.7601,258.0872,3286286.0
2024-10-01 16:00:00,258.07,258.13,256.63,258.02,7886859.0
2024-10-02 10:00:00,247.55,250.79,241.5,242.29,21083094.0
2024-10-02 10:30:00,242.36,245.11,242.16,243.17,10675944.0
2024-10-02 11:00:00,243.16,246.18,242.66,244.7,7268226.0
2024-10-02 11:30:00,244.6712,248.88,244.63,248.73,7001375.0
2024-10-02 12:00:00,248.77,249.86,248.51,249.695,5829698.0
2024-10-02 12:30:00,249.71,251.1585,248.6,249.3407,5877064.0
2024-10-02 13:00:00,249.38,249.4,247.232,247.3004,4455838.0
2024-10-02 13:30:00,247.2726,248.75,247.15,248.5637,3177005.0
2024-10-02 14:00:00,248.56,248.7498,247.3101,248.497,2953954.0
2024-10-02 14:30:00,248.46,249.7199,248.2,249.0918,3551234.0
2024-10-02 15:00:00,249.12,249.9491,248.66,249.405,2841953.0
2024-10-02 15:30:00,249.38,250.03,248.62,249.9601,3253354.0
2024-10-02 16:00:00,249.97,250.079,247.9,249.02,7430822.0
2024-10-03 10:00:00,244.48,249.79,244.436,247.0,12087802.0
2024-10-03 10:30:00,246.96,249.09,245.69,245.94,7696780.0
2024-10-03 11:00:00,245.9599,246.55,243.3463,243.6586,7292767.0
2024-10-03 11:30:00,243.6651,244.31,242.78,243.6292,5842513.0
2024-10-03 12:00:00,243.54,244.7499,243.51,244.1404,3062650.0
2024-10-03 12:30:00,244.1818,244.2899,242.92,243.0005,2898560.0
2024-10-03 13:00:00,243.05,243.1652,239.64,239.7101,7294264.0
2024-10-03 13:30:00,239.7,241.3699,238.91,240.2499,6666405.0
2024-10-03 14:00:00,240.1763,240.79,238.41,238.82,4683979.0
2024-10-03 14:30:00,238.8177,239.5545,238.42,238.6999,3792259.0
2024-10-03 15:00:00,238.66,239.94,237.81,239.33,4542726.0
2024-10-03 15:30:00,239.3,239.64,238.73,238.9224,2993270.0
2024-10-03 16:00:00,238.87,241.16,238.83,240.66,8801015.0
2024-10-04 10:00:00,246.69,249.75,246.1,247.195,15938169.0
2024-10-04 10:30:00,247.195,247.6999,244.58,247.196,8356660.0
2024-10-04 11:00:00,247.19,250.1499,246.62,249.980179,8402737.0
2024-10-04 11:30:00,249.97,250.96,247.4,247.75,8574523.0
2024-10-04 12:00:00,247.74,247.7401,244.63,247.1601,9808755.0
2024-10-04 12:30:00,247.16,247.5,246.11,247.31,3936459.0
2024-10-04 13:00:00,247.29,248.77,247.05,248.4829,3579870.0
2024-10-04 13:30:00,248.4744,249.2399,248.15,248.65,3084253.0
2024-10-04 14:00:00,248.7,249.83,248.0232,248.9099,4009443.0
2024-10-04 14:30:00,248.964,249.56,248.68,249.18,2506120.0
2024-10-04 15:00:00,249.15,249.29,248.31,249.13,2417003.0
2024-10-04 15:30:00,249.1,249.96,248.522,249.91,2939773.0
2024-10-04 16:00:00,249.91,250.2799,249.62,250.08,7696741.0
2024-10-07 10:00:00,249.0,249.83,244.85,245.9696,11355975.0
2024-10-07 10:30:00,245.95,247.88,245.6001,246.54,6101138.0
2024-10-07 11:00:00,246.5229,246.64,243.8101,244.11,7826240.0
2024-10-07 11:30:00,244.1006,244.87,242.5,244.2,5863253.0
2024-10-07 12:00:00,244.1878,245.13,243.91,244.7915,2805800.0
2024-10-07 12:30:00,244.7882,245.55,244.45,244.9,2864451.0
2024-10-07 13:00:00,244.9,245.38,244.3,245.175,1992330.0
2024-10-07 13:30:00,245.15,245.32,243.92,243.95,2280697.0
2024-10-07 14:00:00,243.945,244.37,243.45,243.925,2547074.0
2024-10-07 14:30:00,243.925,244.1576,243.14,243.7348,2236703.0
2024-10-07 15:00:00,243.71,243.717,241.01,241.1601,5219403.0
2024-10-07 15:30:00,241.175,242.37,240.955,241.74,2992716.0
2024-10-07 16:00:00,241.76,241.96,240.7,240.83,8280963.0
2024-10-08 10:00:00,243.56,246.21,240.56,242.61,12023802.0
2024-10-08 10:30:00,242.6,244.5,242.21,244.1567,5702677.0
2024-10-08 11:00:00,244.16,245.46,243.21,243.45,4930283.0
2024-10-08 11:30:00,243.49,243.89,242.7,243.89,3905214.0
2024-10-08 12:00:00,243.866,245.65,243.7,245.48,3826474.0
2024-10-08 12:30:00,245.49,245.5,244.04,245.17,2868940.0
2024-10-08 13:00:00,245.16,245.75,244.83,245.6105,2703377.0
2024-10-08 13:30:00,245.61,245.645506,244.16,244.313,2771335.0
2024-10-08 14:00:00,244.315,245.1499,244.15,245.08,1771133.0
2024-10-08 14:30:00,245.07,245.3441,244.37,244.3902,1606432.0
2024-10-08 15:00:00,244.394,245.29,244.07,245.175,2373606.0
2024-10-08 15:30:00,245.17,245.49,244.27,244.45,2139131.0
2024-10-08 16:00:00,244.432,245.43,244.29,244.5,5367478.0
2024-10-09 10:00:00,243.82,244.61,239.51,241.91,11146888.0
2024-10-09 10:30:00,241.91,246.7783,241.76,246.21,9518961.0
2024-10-09 11:00:00,246.26,247.43,244.85,245.9,6988629.0
2024-10-09 11:30:00,245.91,246.29,244.09,244.2724,4646326.0
2024-10-09 12:00:00,244.3042,245.0598,243.69,244.7801,3311387.0
2024-10-09 12:30:00,244.81,244.81,242.8,244.6534,3792121.0
2024-10-09 13:00:00,244.6501,245.44,244.45,244.81,3187459.0
2024-10-09 13:30:00,244.88,245.37,244.29,244.31,2147180.0
2024-10-09 14:00:00,244.3,244.54,243.11,243.56,2871467.0
2024-10-09 14:30:00,243.55,243.99,242.5501,243.462,2979594.0
2024-10-09 15:00:00,243.44,243.4799,241.28,241.7348,4377165.0
2024-10-09 15:30:00,241.72,242.17,241.13,241.48,3087377.0
2024-10-09 16:00:00,241.55,242.23,241.0,241.05,5673081.0
2024-10-10 10:00:00,241.81,242.37,232.34,234.83,20311869.0
2024-10-10 10:30:00,234.93,238.87,234.0801,238.4181,9169748.0
2024-10-10 11:00:00,238.4199,239.52,236.8,238.22,7212006.0
2024-10-10 11:30:00,238.2046,239.8699,237.73,238.9125,4918735.0
2024-10-10 12:00:00,238.88,241.27,238.2,240.96,5406820.0
2024-10-10 12:30:00,240.96,242.16,240.795,241.0888,4750744.0
2024-10-10 13:00:00,241.113,241.74,240.33,241.1717,3738353.0
2024-10-10 13:30:00,241.19,242.7899,241.04,241.8,3669535.0
2024-10-10 14:00:00,241.7949,242.38,240.1,241.46,3851687.0
2024-10-10 14:30:00,241.4899,241.4899,240.41,241.235,2496869.0
2024-10-10 15:00:00,241.1815,242.43,241.08,242.04,2892614.0
2024-10-10 15:30:00,242.03,242.03,240.9,240.93,2741560.0
2024-10-10 16:00:00,240.935,241.05,238.25,238.77,7820305.0
2024-10-11 10:00:00,220.13,221.15,214.38,218.6734,37074084.0
2024-10-11 10:30:00,218.64,221.58,217.285,220.53,14018577.0
2024-10-11 11:00:00,220.53,223.34,219.92,220.2795,13092091.0
2024-10-11 11:30:00,220.277,221.3,219.02,219.5656,7902750.0
2024-10-11 12:00:00,219.58,220.6,218.5,220.28,7248096.0
2024-10-11 12:30:00,220.2987,220.95,219.52,220.56,5207133.0
2024-10-11 13:00:00,220.56,220.59,219.735,220.3557,4377337.0
2024-10-11 13:30:00,220.355,220.46,219.57,220.0047,3763725.0
2024-10-11 14:00:00,220.01,220.35,219.03,219.28,3892971.0
2024-10-11 14:30:00,219.28,219.65,218.4401,219.2999,4379543.0
2024-10-11 15:00:00,219.3,219.5699,218.6,218.9,3596236.0
2024-10-11 15:30:00,218.89,219.18,218.55,218.9769,4107243.0
2024-10-11 16:00:00,218.96,218.97,217.2519,217.8,16807511.0
2024-10-14 10:00:00,220.13,221.91,217.25,217.845,18695017.0
2024-10-14 10:30:00,217.845,218.44,213.74,216.8201,16026156.0
2024-10-14 11:00:00,216.84,220.0,216.67,219.805,10975190.0
2024-10-14 11:30:00,219.81,219.95,218.2057,218.55,6048065.0
2024-10-14 12:00:00,218.5156,219.9,218.251,219.3899,4191159.0
2024-10-14 12:30:00,219.36,219.7,218.78,219.505,2747323.0
2024-10-14 13:00:00,219.52,220.38,219.4,219.6501,3194355.0
2024-10-14 13:30:00,219.66,220.18,219.201,219.29,2777229.0
2024-10-14 14:00:00,219.28,219.98,219.03,219.8899,2417891.0
2024-10-14 14:30:00,219.89,220.0,219.3501,219.785,1971222.0
2024-10-14 15:00:00,219.785,219.84,218.81,218.83,2154885.0
2024-10-14 15:30:00,218.8569,219.3999,218.3601,218.965,3306641.0
2024-10-14 16:00:00,218.96,219.6099,218.72,219.16,7122477.0
2024-10-15 10:00:00,220.01,224.26,219.3351,221.485,16239592.0
2024-10-15 10:30:00,221.485,222.3,219.7,219.9287,8213770.0
2024-10-15 11:00:00,219.915,219.9316,217.12,219.11,7814475.0
2024-10-15 11:30:00,219.085,220.26,218.71,219.97,4410658.0
2024-10-15 12:00:00,219.95,220.7,219.16,219.32,3100564.0
2024-10-15 12:30:00,219.4146,221.27,219.4,220.56,3063870.0
2024-10-15 13:00:00,220.54,221.0399,220.24,220.41,1798148.0
2024-10-15 13:30:00,220.4351,220.925,219.67,219.82,2070865.0
